coreid,algae,midge,box
1,T8,Midges,1
2,T8,No Midges,1
3,T2,Midges,1
4,T2,No Midges,1
5,T6,No Midges,1
6,T6,Midges,1
7,T4,Midges,1
8,T6,No Midges,1
9,T10,No Midges,1
10,T3,No Midges,1
11,T8,Midges,1
12,T2,No Midges,1
13,T9,Midges,1
14,T5,Midges,1
15,T10,No Midges,1
16,T4,No Midges,1
17,T9,No Midges,1
18,T7,Midges,1
19,T10,Midges,1
20,T4,Midges,1
21,T10,Midges,1
22,T6,No Midges,1
23,T8,No Midges,1
24,T1,Midges,1
25,T4,Midges,1
26,T4,Midges,1
27,T2,Midges,1
28,T5,Midges,1
29,T3,No Midges,1
30,T1,No Midges,1
31,T5,No Midges,1
32,T10,Midges,1
33,T4,No Midges,1
34,T8,Midges,1
35,T9,Midges,1
36,T9,Midges,1
37,T1,Midges,1
38,T9,No Midges,1
39,T10,No Midges,1
40,T2,Midges,1
41,T1,Midges,1
42,T7,Midges,1
43,T1,No Midges,1
44,T7,No Midges,1
45,T4,No Midges,1
46,T6,Midges,1
47,T6,Midges,1
48,T3,Midges,1
49,T8,No Midges,1
50,T1,No Midges,1
51,T3,Midges,2
52,T10,No Midges,2
53,T6,Midges,2
54,T2,No Midges,2
55,T5,Midges,2
56,T5,No Midges,2
57,T3,Midges,2
58,T7,Midges,2
59,T4,Midges,2
60,T9,Midges,2
61,T5,Midges,2
62,T10,Midges,2
63,T3,Midges,2
64,T8,Midges,2
65,T3,No Midges,2
66,T7,No Midges,2
67,T7,Midges,2
68,T8,No Midges,2
69,T3,Midges,2
70,T3,No Midges,2
71,T9,No Midges,2
72,T9,No Midges,2
73,T2,Midges,2
74,T8,Midges,2
75,T2,No Midges,2
76,T5,Midges,2
77,T6,No Midges,2
78,T7,Midges,2
79,T1,Midges,2
80,T9,No Midges,2
81,T4,No Midges,2
82,T5,No Midges,2
83,T10,No Midges,2
84,T6,Midges,2
85,T7,No Midges,2
86,T1,Midges,2
87,T2,Midges,2
88,T7,No Midges,2
89,T5,No Midges,2
90,T10,Midges,2
91,T6,No Midges,2
92,T4,No Midges,2
93,T9,Midges,2
94,T1,No Midges,2
95,T2,No Midges,2
96,T5,No Midges,2
97,T7,No Midges,2
98,T3,No Midges,2
99,T8,No Midges,2
100,T1,No Midges,2
